gray scale;energy
0;0;
1;0;
2;0;
3;0.10585;
4;0.678201;
5;1.65004;
6;5.77371;
7;13.6381;
8;28.5834;
9;60.4081;
10;91.3035;
11;129.022;
12;180.64;
13;221.132;
14;263.018;
15;311.126;
16;350.863;
17;394.788;
18;451.505;
19;497.625;
20;540.562;
21;582.418;
22;619.206;
23;654.209;
24;686.481;
25;717.227;
26;745.996;
27;773.952;
28;799.995;
29;823.111;
30;847.064;
31;869.312;
32;889.858;
33;908.706;
34;927.172;
35;945.258;
36;961.409;
37;975.94;
38;989.407;
39;1002.77;
40;1015.97;
41;1029.23;
42;1041.44;
43;1054.61;
44;1067.7;
45;1080.05;
46;1094.17;
47;1107.31;
48;1122.12;
49;1136.11;
50;1151.15;
51;1167.88;
52;1184.37;
53;1202.4;
54;1221.39;
55;1239.07;
56;1255.66;
57;1273.47;
58;1290.91;
59;1309.16;
60;1326.38;
61;1343.16;
62;1360.04;
63;1375.41;
64;1389.85;
65;1404.2;
66;1418.67;
67;1432.43;
68;1446.32;
69;1459.8;
70;1472.55;
71;1485.94;
72;1498.29;
73;1511.1;
74;1523.6;
75;1536.83;
76;1550.61;
77;1564.61;
78;1579.23;
79;1595.35;
80;1611.9;
81;1628.36;
82;1645.67;
83;1663.08;
84;1681.67;
85;1700.19;
86;1719.22;
87;1738.52;
88;1757.08;
89;1776.96;
90;1796.66;
91;1817.32;
92;1837.08;
93;1858.74;
94;1880.4;
95;1902.82;
96;1925.53;
97;1948.02;
98;1970;
99;1989.55;
100;2007.28;
101;2023.13;
102;2036.61;
103;2048.79;
104;2059.1;
105;2068.29;
106;2076.4;
107;2083.62;
108;2090.33;
109;2096.55;
110;2102.14;
111;2106.65;
112;2110.67;
113;2114.19;
114;2117.23;
115;2119.69;
116;2121.8;
117;2123.41;
118;2124.51;
119;2125.18;
120;2125.37;
121;2125.12;
122;2124.38;
123;2123.21;
124;2121.58;
125;2119.44;
126;2117.07;
127;2114.04;
128;2110.47;
129;2106.37;
130;2101.9;
131;2096.52;
132;2090.93;
133;2084.79;
134;2077.8;
135;2070.17;
136;2061.38;
137;2051.55;
138;2041.4;
139;2030.08;
140;2018.67;
141;2006.16;
142;1993.18;
143;1979.45;
144;1965.12;
145;1949.19;
146;1932.8;
147;1916.04;
148;1898.07;
149;1879.52;
150;1859.86;
151;1839.82;
152;1819.05;
153;1797.69;
154;1777;
155;1754.32;
156;1730.72;
157;1706.41;
158;1681.63;
159;1657.14;
160;1630.26;
161;1603.12;
162;1575.55;
163;1547.53;
164;1519.61;
165;1491.3;
166;1462.06;
167;1433.26;
168;1405.33;
169;1378.63;
170;1351.74;
171;1323;
172;1294.85;
173;1265.61;
174;1236.65;
175;1206.46;
176;1175.22;
177;1143.35;
178;1110.13;
179;1077.74;
180;1045.19;
181;1012.59;
182;978.76;
183;942.845;
184;905.816;
185;867.731;
186;827.088;
187;782.819;
188;735.827;
189;686.979;
190;639.932;
191;595.825;
192;553.057;
193;513.47;
194;479.649;
195;451.605;
196;426.464;
197;403.671;
198;383.053;
199;362.241;
200;344.123;
201;326.014;
202;307.279;
203;288.512;
204;271.548;
205;254.626;
206;237.112;
207;220.635;
208;204.449;
209;186.377;
210;169.424;
211;150.523;
212;130.308;
213;108.584;
214;87.4771;
215;71.373;
216;56.8016;
217;42.1829;
218;30.422;
219;21.6598;
220;14.6157;
221;9.66365;
222;6.10305;
223;3.4708;
224;1.72279;
225;0.811239;
226;0.346719;
227;0.0885172;
228;0.0446703;
229;0;
230;0;
231;0;
232;0;
233;0;
234;0;
235;0;
236;0;
237;0;
238;0;
239;0;
240;0;
241;0;
242;0;
243;0;
244;0;
245;0;
246;0;
247;0;
248;0;
249;0;
250;0;
251;0;
252;0;
253;0;
254;0;
255;0;
